,bad-tickers
766,GSM-F
767,JEL-F
768,O3H-F
769,OSB-F
770,OZH1-F
771,PWE-F
772,SMKA-F
773,SMP-F
774,TBU-F
775,XPPT-F
776,XXH-F
777,YX5-F
778,SOSI-HE
779,DKIGMI-CO
780,MMIGA-CO
781,NDINASTKL1-CO
782,DSCW-EGX
783,CADBURY-XNSA
784,TIP-XNSA
785,MAGHREBAIL-BC
786,BMHL-SEM
787,SCT-SEM
788,246710-KO
789,267790-KO
790,300120-KO
791,37550K-KO
792,440820-KO
793,448740-KO
794,001450-KQ
795,001560-KQ
796,020120-KQ
797,063160-KQ
798,090350-KQ
799,BEE-WAR
800,ITX-WAR
801,ESBL-KAR
802,TRSM-KAR
803,NTSC-BK
804,688119-SHG
805,ACLN0000-CM
806,APS-VN
807,BKG-VN
808,CAP-VN
809,MVB-VN
810,VIG-VN
811,5317-KLSE
812,MILK-RO
813,NAPO-RO
814,01007T-TW
815,8359-TWO
816,SNICA-IS
817,BNJ-US
818,FGFI-US
819,FIIG-US
820,GHTI-US
821,GJS-US
822,ITGDF-US
823,KREF-P-A-US
824,RWTN-US
825,TRATY-US
826,VIPK-US
827,ALTE-LSE
828,CYBR-TO
829,FIN-V
830,MQM-V
831,2LYA-BE
832,31M-BE
833,3EQ-BE
834,8TI-BE
835,AMI-BE
836,CTAA-BE
837,GT4-BE
838,P2W-BE
839,PKTM-BE
840,WOSB-BE
841,WXV-BE
842,SB1-HM
843,ADN1-DU
844,TION-DU
845,CLIQ-MU
846,EJT1-MU
847,GPI1-MU
848,IHS-MU
849,RTZ-MU
850,S2Z-MU
851,SR9-MU
852,TQW-MU
853,TTEB-MU
854,U1B-MU
855,19V-STU
856,27V-STU
857,3T4-STU
858,AS7-STU
859,AY5-STU
860,E3B-STU
861,FWG-STU
862,LEC-STU
863,UG5A-STU
864,1AI-F
865,1L30-F
866,1X9-F
867,4I7-F
868,52BA-F
869,54K-F
870,5J3-F
871,7UP-F
872,A9F-F
873,FB20-F
874,FD8-F
875,FMN-F
876,G5O-F
877,GG20-F
878,K3R-F
879,K5F-F
880,MUY-F
881,NOGN-F
882,OHP0-F
883,PN21-F
884,R4L-F
885,RLU-F
886,SQL-F
887,TLYB-F
888,V9L-F
889,WPK-F
890,DKIDIO-CO
891,NDIAKL1-CO
892,NDIGUAKL1-CO
893,NYIKRO-CO
894,MVIR-ST
895,GOIL-GSE
896,SUNBIRD-MSE
897,CIEL-SEM
898,322780-KO
899,368600-KO
900,425290-KO
901,005720-KQ
902,011280-KQ
903,028670-KQ
904,MLP-WAR
905,TLG-WAR
906,VKT-WAR
907,CEH-AU
908,MAXI-JK
909,MEDS-JK
910,BAM-R-BK
911,301311-SHE
912,301380-SHE
913,NUVAMA-NSE
914,GLASN0000-CM
915,BVS-VN
916,SEB-VN
917,CMF-RO
918,ELGS-RO
919,EVER-RO
920,5233-TWO
921,RUBNS-IS
922,EVXX-US
923,HSCC-US
924,IBID-US
925,MSET-US
926,NITO-US
927,OBSEF-US
928,TVGNW-US
929,0ABS-LSE
930,SDCI-P-V
931,02H0-BE
932,ALM-BE
933,CPD-BE
934,DYQ-BE
935,E4S-BE
936,FOZN-BE
937,ICA-BE
938,INW-BE
939,LEV-BE
940,LS9-BE
941,RUC-BE
942,S5U5-BE
943,SND-BE
944,XTP-BE
945,ETG-HM
946,PAUJ-XETRA
947,XBTI-XETRA
948,MOH-DU
949,NXG-DU
950,SJJ-DU
951,ADN1-HA
952,CRA1-MU
953,DBV-MU
954,HIJ2-MU
955,KVO-MU
956,NYKA-MU
957,SHG-MU
958,6DW-STU
959,7CT-STU
960,C1Y-STU
961,CAR-STU
962,IPZ-STU
963,KSC-STU
964,L53-STU
965,MRI-STU
966,RJ8-STU
967,U1S1-STU
968,UG8K-STU
969,06P0-F
970,0AJ-F
971,0GT-F
972,0UG1-F
973,0VZ1-F
